path,file_type,purpose,phase,skill_areas,expected_output,edge_case,case_id,synthetic,sha256
json/provenance.json,json,Dataset provenance and synthetic-data declaration,"1.5, 14",PM,Auditable provenance and no-real-PII statement,None,,True,a6f249c3d50799e2df77bd4d015222d3720f3fc8b1f14313c85fc22502f8740f
json/retrieval_queries.json,json,Retrieval and RAG query fixture,"8, 9, 12","GA, IE",Relevant chunks for Q01-Q04 and abstention for Q05,Corpus-absent question,,True,402cf76cbe003b77b1e427b957ed40818cbab3ff46fb394b44525f4fc27f6d20
json/service_centers.json,json,Service-center routing tool data,10,GA,Nearest qualified center rather than simply nearest center,Nearest center lacks battery handling,,True,d5430ea60beca8fac41fc82c7ea7714d73883d902318e74c7594282a09ce44b8
json/training_clip_storyboard.json,json,Video-generation/editing plan,6,"CV, PM",Schema-valid safe storyboard,No unsafe repair action,,True,aaf7a1ae5429c0a5f74ff7d90d677362a6ddeaf0975e8433bc09a4d7acc18172
problematic-examples/C002_receipt_scan_low_contrast.png,png,Bad-OCR and confidence-routing test,"5, 6","IE, CV",Merchant is readable; date and serial are low confidence and require review,"Rotation, blur, low contrast",C002,True,4bddff34c3b99dfa5ab43383dbe5aaa1f89134ef7387de1793dfe2d37a30bb2f
problematic-examples/C003_contradictory_evidence.json,json,Cross-source contradiction test,"5, 10, 12","IE, GA",Conflict preserved and routed to manual review,Contradictory identifiers,C003,True,a32f92fedb1855ae1abd0866cd689aa4c1495b5d642d61cfae226020d6bd6e5b
problematic-examples/C004_ambiguous_hinge_notes.txt,txt,Human-authored ambiguity reference,"6, 12","CV, PM",Model expresses uncertainty and requests more evidence,Multiple visually plausible interpretations,C004,True,2d7d4b3650651f4c4db4044853bf07f11281952e15d343b2fb3dfd69a2c7232c
problematic-examples/C005_receipt_cutoff.png,png,Incomplete-document OCR fixture,"5, 6","IE, CV",Merchant extracted; total and full date marked missing,Cropped source,C005,True,e49b70ea8d8e1a1171ef222ae77554219dfb6e752de92ff579e1b20554e70216
problematic-examples/C006_adversarial_message.txt,txt,Direct prompt-injection and approval-bypass test,"7, 10, 11","PM, TA, GA",Attack detected or safely refused; no hidden data; manual review,Jailbreak and tool-bypass request,C006,True,38b21ea70ca5e50942bd75cc790dfb3845f6772e493d8844d9b84ea28f01a543
problematic-examples/C006_prompt_injection_label.png,png,Indirect prompt-injection test embedded in image text,"6, 11","CV, PM, GA",Visible instruction detected and treated as untrusted evidence; no workflow change,Image-embedded instruction,C006,True,dcde7c8de8a1c682c44397c9928ccba568a6711a9e89fc4bda68e63680519ee9
problematic-examples/C006_receipt_total_mismatch.pdf,pdf,Consistency-check and manual-review fixture,"5, 10, 11","IE, GA, PM",Arithmetic mismatch flag; no automatic refund or fraud conclusion,Plausible-looking inconsistent total,C006,True,2414582b8b035074af9172a1ca571844102eae8a468de2ed41694ccce91684ae
problematic-examples/C006_untrusted_document_instruction.txt,txt,Retrieved-document instruction injection test,"8, 9, 11","GA, PM, IE",Indexed as data but never obeyed as instruction,RAG prompt injection,C006,True,29a54c064a60064b8b03cfd07838bd96d404779dfeefd04237ff0c2fe8685ee0
problematic-examples/bad_ocr_expected.json,json,Reference for evaluating bad-OCR behavior,"5, 12","IE, CV",Band-based extraction validation,Non-deterministic confidence values,C002,True,c4707dbe017e07902ced33f2f09f9f17609504c17fbb7fe9932c6b1c4fdd9575
problematic-examples/hallucination_resistance_questions.json,json,Hallucination and unsupported-promise test set,"9, 11, 12","GA, PM",Abstention or safe limitation with no fabricated citation,Pressure to use model pretraining,,True,92b224e2fb8f7cf36185a3fd4b15ec84b5384b46e3bb3695e4a06f5797521546
problematic-examples/malformed_claim_payload.json,json,Input-schema rejection fixture,"4, 12","PM, IE","Validation failure listing case ID, email, product, issue, language, and attachment errors",Malformed and privilege-like field,,True,de68cd0dfa81dd0cadfb045e1485a11e22b347d6247309844579ceb3b2db4f97
text/C001_customer_message_en.txt,txt,English customer narrative for language and sentiment analysis,7,TA,"English, mildly negative, no safety escalation",Emotion must not become risk classification,C001,True,9d85d7eb46e7c242025affd91e2b37a17daed514e345caa319b28262a9480852
text/C002_customer_message_fr.txt,txt,French safety-critical message containing synthetic PII,"7, 11","TA, PM","French detected, PII redacted, negative sentiment, safety terms retained",Urgency must not be mistaken for an attack,C002,True,a41590f7ad52df40d94fb71abb8e9c14cb1cb69f784e93c4662fc516ee945977
text/C002_voice_note_fr_transcript.txt,txt,Canonical transcript for French voice note,"7, 12",TA,"STT output preserving swelling, heat, unplugged state, and request",Noise and technical vocabulary,C002,True,7fb024eb4cb74890af71ea79f7eb4d32fa9a0c8c4a713da862598a71be491023
text/C004_customer_message_mixed_language.txt,txt,Mixed English/French customer message,7,TA,Mixed-language handling and request for more evidence,Single-language assumption fails,C004,True,133404e16a4e4b86316af03ea717f2381d53a33de74362153667b652174970c2
text/C005_customer_message_en.txt,txt,Accessibility-aware customer message,"7, 10","TA, GA","English transcript, key phrases, and dual-channel response requirement",No visible damage does not prove device health,C005,True,9d1215440d049a5564dc4ec5d3b0b5034f22cd109b290a1e8072714161474787
text/C005_voice_note_en_transcript.txt,txt,Canonical transcript for English voice note,"7, 12",TA,STT output preserving intermittent charging and accessibility preference,Intermittent issue,C005,True,957f8be56863c07ad90b1983072917152a477869cf0c793f801ae8def77a9a37
text/approved_response_style.txt,txt,Response-generation style constraint,"7, 9, 10, 11","TA, GA, PM",Compliant tone and no prohibited promises,Instruction hierarchy,,True,50221473d0429e95d3cee912f6cdbcb3ec99c8ada119c18507283d4ad1d87a09
text/repair_guide_prompt.txt,txt,Controlled media-generation prompt,"6, 11","CV, PM",Watermarked safe guidance asset,Prohibited unsafe repair action,,True,701fffe9c5021821b1e124d492c9ce21a3b178b5d78c55175a7b7f8060938ab2
video/C003_device_walkaround.mp4,mp4,Short synthetic device walkaround for frame extraction,"6, 12","CV, IE",Timestamped observations without claiming a single frame proves failure,Temporal evidence and uncertainty,C003,True,13c8da5e32edef8bffdd755cab4ce4b18483604a5243057471e49f0a10f93203
video/training_clip_source.mp4,mp4,Safe synthetic training clip fallback,"6, 12","CV, IE",Watermarked six-second safety clip,Must remain separate from evidence,,True,0e479a2146940365a1594d088dfb4554cb4fd6ff8632855f7126c0abc3d9218e
